chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
100,100,80226,0,0,0,0,1,2,2.5,3.0,1,Serge,2.5,336,False,,2019-09-28T16:00:17.498533Z,50,80226.jpg,3.5,Aurier,5.8,False,,a,17,6,85,1119911,1501,766269,3330,0.5,17.0,Aurier,1909,1,6,5,27,1,0,0,1,1,0,11,460,532.8,419.8,207.0,116.0
0,0,78830,0,0,-2,2,2,4,0.0,0.0,0,Harry,0.0,338,False,Hamstring injury - Expected back 04 Apr,2020-01-01T17:30:18.573337Z,108,78830.jpg,5.2,Kane,8.5,False,,i,17,6,104,1665637,17,3053679,658,0.0,9.6,Kane,1778,11,2,2,29,0,0,0,2,0,0,16,374,531.4,291.1,696.0,151.8
0,0,165990,0,0,0,0,0,4,0.0,0.0,0,Vincent,0.0,339,False,Joined Monterrey on a permanent deal on 23/7,2019-07-30T07:00:10.626522Z,45,165990.jpg,0.0,Janssen,0.1,False,,u,17,6,0,2951,1,9181,7,0.0,0.0,Janssen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,75,37915,0,0,-2,2,1,1,2.8,2.5,6,Hugo,2.8,340,False,,2020-03-01T14:30:24.052498Z,53,37915.jpg,4.2,Lloris,3.4,False,,a,17,6,51,249623,280,656923,399,0.5,9.6,Lloris,998,0,0,2,14,0,1,0,0,0,50,6,239,367.2,0.0,0.0,36.8
,,102884,0,0,-3,3,1,1,0.2,0.7,0,Paulo,0.2,341,False,,,42,102884.jpg,3.2,Gazzaniga,2.0,False,,a,17,6,58,530263,299,432102,1129,0.0,13.8,Gazzaniga,1612,0,0,2,26,0,1,0,1,0,59,6,300,449.8,10.0,0.0,46.1
0,0,85971,0,0,3,-3,5,3,0.0,0.0,0,Heung-Min,3.2,342,False,Arm injury - Unknown return date,2020-02-18T12:00:16.397536Z,98,85971.jpg,5.8,Son,4.5,False,,i,17,6,122,3070403,62,3001559,3601,0.3,12.4,Son,1744,9,9,4,25,0,0,1,0,2,0,13,395,604.2,431.0,893.0,192.2
0,0,80607,0,0,-4,4,0,3,0.0,0.0,0,Christian,0.0,343,False,Joined Inter Milan on a permanent deal on 28/1,2020-01-28T13:30:20.762908Z,86,80607.jpg,2.4,Eriksen,2.4,False,,u,17,6,48,142814,6,450072,236,0.0,5.6,Eriksen,1090,2,2,1,18,0,0,0,5,0,0,6,205,262.4,348.9,225.0,83.3
100,100,108823,0,0,-2,2,2,3,4.5,5.0,7,Bamidele,4.5,344,False,,2020-02-02T21:00:21.158445Z,83,108823.jpg,5.2,Alli,4.7,False,,a,17,6,114,1678352,4490,1446390,1752,0.5,13.7,Alli,1758,8,6,4,24,0,0,0,2,0,0,12,340,523.4,311.3,619.0,145.5
,,95715,0,0,-4,4,0,3,1.8,2.3,1,Lucas,1.8,345,False,,,71,95715.jpg,2.8,Rodrigues Moura da Silva,4.9,False,,a,17,6,76,787606,740,1185039,2984,0.3,10.7,Lucas Moura,1675,4,3,3,23,0,0,0,2,0,0,1,243,379.6,359.2,615.0,135.2
100,100,62974,0,0,-3,3,1,3,2.0,2.5,4,Erik,2.0,346,False,,2020-02-05T19:00:22.788643Z,57,62974.jpg,2.9,Lamela,1.1,False,,a,17,6,50,490853,184,512374,80,0.4,8.8,Lamela,929,2,4,3,10,0,0,0,3,0,0,2,180,192.0,250.4,285.0,72.6
100,100,157668,0,0,-3,3,0,3,1.0,1.5,0,Harry,1.0,347,False,,2020-01-22T22:00:22.005033Z,52,157668.jpg,1.5,Winks,0.3,False,,a,17,6,35,18937,30,31662,61,0.2,6.7,Winks,1589,0,0,3,27,0,0,0,8,0,0,0,265,265.4,246.7,63.0,57.5
0,0,54756,0,0,-3,3,0,3,0.0,0.0,0,Victor,0.0,348,False,Joined Montreal Impact on a permanent deal on 3/3. - Unknown return date,2020-03-03T22:30:26.929361Z,47,54756.jpg,0.5,Wanyama,0.1,False,,n,17,6,1,5390,2,8413,36,0.0,0.2,Wanyama,24,0,0,0,2,0,0,0,1,0,0,0,5,1.2,0.9,0.0,0.2
0,0,45268,0,0,-2,2,0,3,0.0,0.0,0,Moussa,0.0,349,False,Knee injury - Expected back 11 Apr,2020-01-05T22:00:20.348120Z,48,45268.jpg,2.5,Sissoko,1.2,False,,i,17,6,49,222514,2,293498,147,0.0,10.2,Sissoko,1688,2,1,3,25,0,0,0,6,0,0,0,272,242.8,201.9,167.0,61.1
100,100,93264,0,0,-2,2,0,3,2.0,2.5,2,Eric,2.0,350,False,,2020-01-01T17:30:18.613803Z,48,93264.jpg,1.8,Dier,0.2,False,,a,17,6,25,13325,58,19455,34,0.4,5.2,Dier,890,0,2,1,18,0,0,0,4,0,0,0,120,215.4,87.4,41.0,34.5
0,0,168764,0,0,-1,1,0,3,0.0,0.0,0,Luke,0.0,351,False,Joined QPR on loan until the end of the season on 1/7. - Expected back 01 Jul,2019-07-02T09:00:13.289180Z,44,168764.jpg,0.0,Amos,0.0,False,,n,17,6,0,1043,3,1369,5,0.0,0.0,Amos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,209042,0,0,-2,2,0,3,0.2,0.7,1,Oliver,0.2,352,False,,,43,209042.jpg,1.0,Skipp,0.7,False,,a,17,6,4,52967,311,49976,205,0.0,0.9,Skipp,57,0,0,0,1,0,0,0,0,0,0,0,12,12.6,1.2,0.0,1.4
100,100,231372,0,0,-2,2,0,3,1.0,1.5,1,Tanguy,1.0,442,False,,2020-01-01T17:30:18.888298Z,58,231372.jpg,2.3,Ndombele,2.3,False,,a,17,6,44,586893,51,825387,134,0.2,7.6,Ndombele,938,2,2,1,16,0,0,0,2,0,0,2,213,266.2,182.5,116.0,56.5
,,447235,0,0,-2,2,0,4,0.2,0.7,0,Troy,0.2,509,False,,,43,447235.jpg,1.0,Parrott,0.8,False,,a,17,6,2,87897,125,99458,146,0.0,0.5,Parrott,6,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0.1,0.0,0.0
100,100,200826,0,0,-2,2,0,3,0.8,1.3,0,Giovani,0.8,523,False,,2020-02-05T19:00:23.246956Z,73,200826.jpg,1.3,Lo Celso,0.4,False,,a,17,6,25,28170,274,51415,211,0.1,3.4,Lo Celso,867,0,0,3,11,0,0,0,5,0,0,0,123,167.8,270.4,110.0,54.8
100,100,184349,0,0,-1,1,0,3,0.0,0.5,0,Ryan,0.0,524,False,,2020-02-22T15:00:17.445711Z,54,184349.jpg,1.5,Sessegnon,0.1,False,,a,17,6,9,5240,10,20464,12,0.0,1.7,Sessegnon,341,0,0,0,5,0,0,0,0,0,0,0,41,45.4,39.9,34.0,11.9
0,0,168566,0,0,0,0,0,3,0.0,0.0,0,Georges-Kévin,0.0,527,False,Joined Besiktas on a permanent deal on 22/8,2019-08-22T12:30:17.630601Z,50,168566.jpg,1.0,Nkoudou,0.0,False,,u,17,6,1,1746,1,2502,0,0.0,0.2,Nkoudou,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,18.0,1.8
,,175941,0,0,0,0,0,1,0.0,0.5,0,Alfie,0.0,543,False,,,40,175941.jpg,0.0,Whiteman,0.5,False,,a,17,6,0,45349,18,22224,86,0.0,0.0,Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,39215,0,0,-2,2,0,1,0.0,0.5,0,Michel,0.0,555,False,,2019-11-21T14:30:20.107084Z,43,39215.jpg,0.0,Vorm,0.0,False,,a,17,6,0,3119,7,2825,5,0.0,0.0,Vorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
